,income
0,0.009
1,0.073
2,0.0
3,0.013
4,0.194
5,0.292
6,0.012
7,0.829
8,0.964
9,0.991
10,0.818
11,0.772
12,0.0
13,0.092
14,0.777
15,0.027
16,0.001
17,0.001
18,0.25
19,0.235
20,0.957
21,0.001
22,0.183
23,0.086
24,0.047
25,0.557
26,0.0
27,0.772
28,0.057
29,0.317
30,0.046
31,0.005
32,0.264
33,0.053
34,0.016
35,0.003
36,0.001
37,0.078
38,0.21
39,0.187
40,0.03
41,0.155
42,0.157
43,0.003
44,0.0
45,0.863
46,0.344
47,0.212
48,0.054
49,0.014
50,0.072
51,0.0
52,0.914
53,0.676
54,0.169
55,0.821
56,0.0
57,0.096
58,0.175
59,0.023
60,0.296
61,0.012
62,0.135
63,0.889
64,0.028
65,0.017
66,0.001
67,0.69
68,0.899
69,0.002
70,0.002
71,0.058
72,0.554
73,0.0
74,0.087
75,0.0
76,0.195
77,0.007
78,0.0
79,0.013
80,0.0
81,0.229
82,0.192
83,0.171
84,0.93
85,0.061
86,0.877
87,0.341
88,0.066
89,0.843
90,0.478
91,0.005
92,0.001
93,0.143
94,0.906
95,0.015
96,0.991
97,0.818
98,0.014
99,0.0
100,0.763
101,1.0
102,0.296
103,0.0
104,0.0
105,0.991
106,0.394
107,0.0
108,0.001
109,0.06
110,0.001
111,0.941
112,0.788
113,0.052
114,0.0
115,0.194
116,0.306
117,0.605
118,0.205
119,0.013
120,0.0
121,0.34
122,0.007
123,0.816
124,0.0
125,0.974
126,0.0
127,0.254
128,0.069
129,0.02
130,0.011
131,0.0
132,0.207
133,0.818
134,0.021
135,0.73
136,0.118
137,0.364
138,0.0
139,0.785
140,0.204
141,0.021
142,0.0
143,0.67
144,0.045
145,0.003
146,0.007
147,0.002
148,0.333
149,0.009
150,0.005
151,0.004
152,0.026
153,0.0
154,0.641
155,0.241
156,0.0
157,0.081
158,0.047
159,0.101
160,0.012
161,0.0
162,0.037
163,0.003
164,0.838
165,0.005
166,0.044
167,0.148
168,0.001
169,0.013
170,0.0
171,0.103
172,0.992
173,0.023
174,0.711
175,0.007
176,0.0
177,0.026
178,0.0
179,0.194
180,0.745
181,0.003
182,0.046
183,0.003
184,0.73
185,0.151
186,0.051
187,0.075
188,0.322
189,0.48
190,0.012
191,0.01
192,0.526
193,0.283
194,0.224
195,0.012
196,0.066
197,0.983
198,0.969
199,0.01
200,0.196
201,0.0
202,0.912
203,0.066
204,0.004
205,0.0
206,0.963
207,0.027
208,0.957
209,0.0
210,0.128
211,0.687
212,0.005
213,0.095
214,0.679
215,0.755
216,0.049
217,0.303
218,0.14
219,0.0
220,0.177
221,0.014
222,0.08
223,0.054
224,0.004
225,0.0
226,0.033
227,0.055
228,0.011
229,0.003
230,0.008
231,0.005
232,0.006
233,0.038
234,0.655
235,0.078
236,0.049
237,0.813
238,0.916
239,0.0
240,0.91
241,0.09
242,0.107
