h,Timestamp,ID,Tinggal di PPR semenjak,"Bagi responden yang tinggal di PPR kurang daripada 12 bulan, sila nyatakan tempoh dalam bulan:",Air,Elektrik,Telefon,"Jumlah tanggungan bil telefon, sila nyatakan:",Internet (unifi/maxis/lain-lain),Anggaran perbelanjaan perubatan sekeluarga sebulan,Anggaran perbelanjaan makanan asas sekeluarga sebulan,Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Susu],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Lampin],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Tambang bas],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Yuran sekolah],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Duit makan sekolah],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Alat menulis],Anggaran penjagaan dan perbelanjaan anak dalam sebulan [Buku termasuk buku latihan],Adakah anda mempunyai kanak-kanak bawah umur 12 yang belum terima vaksinasi?,Adakah anda menghadapi masalah tikus di rumah ataupun di tingkat rumah anda?,Adakah anda mengenali mana-mana ahli keluarga yang jatuh sakit kerana kencing tikus?,Adakah anda mengenali mana-mana ahli keluarga yang jatuh sakit kerana denggi?,Adakah masalah tikus di persekitaran PPR sudah mencapai tahap yang serius?,"Jikalau ada apa-apa masalah serangga atau haiwan perosak selain dari nyamuk dan tikus, sila nyatakan:",Sumber air bersih atau tidak?,Apakah cadangan mencegah membaling sampah kebawah dari atas?,Adakah rumah anda pernah dipecah masuk?,Pernahkah ahli keluarga menjadi mangsa jenayah di Kota Damansara,"Jikalau ada, nyatakan jenis jenayah:",Adakah terdapat aktiviti yang berkaitan dengan dadah di kawasan PPR?,Adakah isi rumah umur 17 ke bawah yang meninggal dunia?,"Jika ada, sila nyatakan sebab:","Sekiranya ada berlaku kematian oleh salah seorang dari ahli keluarga anda yang berumur 17 kebawah, sila nyatakan lokasi:",Tarikh survey ini di isikan oleh enumerator atau responden
0,28/04/2016 23:36,0b41d28f280fbd90eea7459126e26a8ea88f3cdb107eca8408210a09cbad9964,5,,< 20,< 50,,,0,,< 500,,,< 100,< 100,,,150 ke atas,Ya,Tidak,,Tidak,Ya,,Tidak,Mengenakan denda,Tidak,Tidak,,Tidak,Tidak,,,18/02/2016
1,26/04/2016 12:51,54a07d349977ec9106489afeeb1b879dbdc943e65de4f41b27f11e9e3e73758e,10,,< 20,< 75,,,150 ke atas,,,,,,,,,,,Tidak,Tidak,Tidak,Ya,,Tidak,,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
2,01/09/2016 12:17,a50436d1b3e4d84107ec2e240b03b0d15629360d230d8ef5b0bffc4fb138d698,7,,< 20,< 50,,,0,< 50,< 500,0,0,< 100,< 125,< 100,0,< 100,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Ya,Kemalangan,Tempat lain,17/02/2016
3,31/03/2016 15:47,22ce77f869b8f7ba7100491cd5a7194481203bafa0d3fa3d1fb23dbd99d39696,14,,< 20,< 50,,,,,< 700,,,,,< 100,,,Tidak,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,19/02/2016
4,26/04/2016 11:12,a456bc47bfd9f78bbefe3516cd5cb65f580de2ae3c69963c0693fbd89f608c68,12,,< 20,< 50,,,,,< 700,,,,,,,,,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
5,26/04/2016 11:16,79e63dfe1b9be7d02ca53c25e295b6f2878ef0d46e84aa5b094249225eca651b,8,,< 20,< 50,,,,< 100,< 500,,,,,,,,Tidak,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
6,26/04/2016 11:20,eccc0ea37cedaf818b06ec7bc7067ea045ec351a2c824774a8e2294a8ced18ab,9,,< 60,< 50,,,< 125,,800 ke atas,,,,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,bil air melambung-lambung terlampau. sampah merata-rata ditengah tingkat 4. lipas.,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,21/02/2016
7,28/04/2016 23:58,34d0adc1e28dec3960989c5ba32fc4e5e38ad58dee472ccd2b68b39cd8d63f6f,5,,< 20,< 50,,,0,< 100,< 500,< 100,< 100,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,tiada,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,18/02/2016
8,01/09/2016 11:06,f197a66df30cd9a7ca821def68e9c9d8afcc5ece98ed1001cd1b037ad8c117f1,13,,< 40,< 75,,,0,0,< 500,,,,< 100,< 100,< 100,< 100,Tidak,Ya,Tidak,Ya,Ya,lipas,Ya,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
9,28/04/2016 21:53,e3f72e333506f919b222baeb34d35ac5128d5cb870909fc83b00f7f97c714958,20,,< 40,< 100,,,< 150,200 ke atas,800 ke atas,0,0,0,150 ke atas,150 ke atas,0,0,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,15/02/2016
10,26/04/2016 12:23,466ebd652463f1efd6cafe309219bf6b6667725e7b2ed0c241d501031389dc78,10,,< 20,< 50,,,0,,< 500,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,lipas,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,16/02/2016
11,26/04/2016 12:44,64031a234b117442fcee82751896da532c4dfaeaeb52c58ef4f85e569ed83234,12,,< 20,< 125,,,0,0,< 500,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
12,13/09/2016 14:58,0d0dca6734d164597c627e631c1623f568d30198f39f6ae559cffcad5cf323de,,2013,< 60,< 50,,,0,< 50,< 500,0,0,< 100,< 150,150 ke atas,< 100,< 150,Tidak,Tidak,Tidak,Ya,Ya,lipas,Tidak,Memasang cctv,Ya,Tidak,,Ya,Tidak,,,02/06/2016
13,01/09/2016 13:28,a7af81567030c9d3e084ebaca70c935c3ba1588b82ca6d546b46cb24e5488234,5,,< 40,< 75,,,0,< 50,< 500,150 ke atas,< 125,,,< 100,,,Ya,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,
14,01/09/2016 11:40,44a23c3a96dfb245f96464c36666947ba45f69bb6d6c9d3ecc488a770ccee874,0,,< 20,< 75,,,0,< 50,< 700,0,0,< 100,< 125,150 ke atas,< 100,150 ke atas,Ya,Tidak,Tidak,Tidak,Tidak,,Tidak,Menyediakan tong sampah yang mencukupi disetiap tingkat,Tidak,Tidak,,Ya,Tidak,,,15/02/2016
15,26/04/2016 10:36,23c633ad7061f56fa5bde13e5e2472df99bfd743bf8899c493f4de6bd1c4bef6,13,,< 20,< 50,,,,< 100,< 800,< 100,,< 100,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Ya,Tidak,,,,,,16/02/2016
16,26/04/2016 11:05,111652e986b802063babc2986d4af0869c5231526c52698b1dccb5d58ad3d1d2,11,,< 20,< 50,,,< 150,< 100,< 700,,,,,< 150,,,,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Tidak,,,Ya,,,,15/02/2016
17,26/04/2016 12:57,cd42b2592b31f89d7f0db40b946ba211ae9f8d41b0d448025a53952573aef72c,13,,< 20,< 125,,,,200 ke atas,,,,,,,,,,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
18,18/04/2016 23:57,bb446d3c45e8426d04b3c58c1544906482167e8b32476a809058f913ddc3dfa1,6,,< 20,< 50,,,0,0,< 500,,,,,,,,Tidak tahu,Tidak,Tidak,Tidak,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,24/02/2016
19,26/04/2016 12:21,61e82f73bd87df75543f6ce71d55fa457b710c23c5bf6b4d411b91901b0a11db,9,,< 40,< 75,,,0,< 100,< 500,,,,,,,,Tidak,Tidak,Tidak,Tidak,Tidak,lipas,Ya,Mengenakan denda,Tidak,Tidak,,Tidak,Tidak,,,20/02/2016
20,01/09/2016 14:35,71ee02d230bb09551d8b8adc10f6c909fc758b3c4b33d78c993d20d0f14766a3,10,,< 40,< 100,,,< 150,< 100,800 ke atas,0,0,0,150 ke atas,< 150,< 100,150 ke atas,Tidak tahu,Ya,Tidak,Ya,Ya,lipas,Tidak,Memasang cctv,Tidak,Tidak,,Tidak,Tidak,,,
21,26/04/2016 10:17,aaa3a0934aab484e01b294c87a69a0ebf7de00423970fd04d7a26d5cfc870f17,13,,< 20,< 50,,,< 100,< 50,800 ke atas,,,,,150 ke atas,,,Tidak,Tidak,Tidak,Tidak,Ya,,Tidak,Memasang cctv,Ya,Tidak,,Ya,Tidak,,,17/02/2016
22,22/08/2016 12:15,6a077ce49f8d2060d88f8e814c27fa0ad123afba644182fd2e55adb53e9e9296,15,,< 20,< 75,,,0,< 50,< 500,0,0,< 100,,,< 100,< 100,Ya,Tidak,Tidak,Tidak,Ya,"lipas, semut dan kucing",Tidak,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,17/02/2016
23,19/04/2016 0:26,ef110c962c3713f17d98b364de19b77806f3bc8aaac80aba61f9ed9e5cdb15b4,8,,< 20,< 75,,,,< 100,800 ke atas,< 150,< 125,< 100,< 125,< 125,< 150,< 150,Tidak tahu,Tidak,Tidak,Tidak,Ya,,Ya,Memasang cctv,Tidak,Tidak,,Ya,Tidak,,,23/02/2016
