A,B,C,D,E,F
800,0,0.3048,71.3,0.00266337,126.201
1000,0,0.3048,71.3,0.00266337,125.201
1250,0,0.3048,71.3,0.00266337,125.951
1600,0,0.3048,71.3,0.00266337,127.591
2000,0,0.3048,71.3,0.00266337,127.461
2500,0,0.3048,71.3,0.00266337,125.571
3150,0,0.3048,71.3,0.00266337,125.201
4000,0,0.3048,71.3,0.00266337,123.061
5000,0,0.3048,71.3,0.00266337,121.301
6300,0,0.3048,71.3,0.00266337,119.541
8000,0,0.3048,71.3,0.00266337,117.151
10000,0,0.3048,71.3,0.00266337,115.391
12500,0,0.3048,71.3,0.00266337,112.241
16000,0,0.3048,71.3,0.00266337,108.721
500,0,0.3048,55.5,0.00283081,126.416
630,0,0.3048,55.5,0.00283081,126.416
800,0,0.3048,55.5,0.00283081,126.416
1000,0,0.3048,55.5,0.00283081,126.416
1250,0,0.3048,55.5,0.00283081,126.416
1600,0,0.3048,55.5,0.00283081,126.416
2000,0,0.3048,55.5,0.00283081,126.416
2500,0,0.3048,55.5,0.00283081,126.416
3150,0,0.3048,55.5,0.00283081,126.416
4000,0,0.3048,55.5,0.00283081,126.416
5000,0,0.3048,55.5,0.00283081,126.416
6300,0,0.3048,55.5,0.00283081,126.416
8000,0,0.3048,55.5,0.00283081,126.416
10000,0,0.3048,55.5,0.00283081,126.416
12500,0,0.3048,55.5,0.00283081,126.416
200,0,0.3048,39.6,0.00310138,126.416
250,0,0.3048,39.6,0.00310138,126.416
315,0,0.3048,39.6,0.00310138,126.416
400,0,0.3048,39.6,0.00310138,126.416
500,0,0.3048,39.6,0.00310138,126.416
630,0,0.3048,39.6,0.00310138,126.416
800,0,0.3048,39.6,0.00310138,126.416
1000,0,0.3048,39.6,0.00310138,126.416
1250,0,0.3048,39.6,0.00310138,126.416
1600,0,0.3048,39.6,0.00310138,126.416
2000,0,0.3048,39.6,0.00310138,126.416
2500,0,0.3048,39.6,0.00310138,126.416
3150,0,0.3048,39.6,0.00310138,126.416
4000,0,0.3048,39.6,0.00310138,126.416
5000,0,0.3048,39.6,0.00310138,126.416
6300,0,0.3048,39.6,0.00310138,126.416
8000,0,0.3048,39.6,0.00310138,126.416
10000,0,0.3048,39.6,0.00310138,126.416
12500,0,0.3048,39.6,0.00310138,126.416
200,0,0.3048,31.7,0.00331266,126.416
250,0,0.3048,31.7,0.00331266,126.416
315,0,0.3048,31.7,0.00331266,126.416
400,0,0.3048,31.7,0.00331266,126.416
500,0,0.3048,31.7,0.00331266,126.416
630,0,0.3048,31.7,0.00331266,126.416
800,0,0.3048,31.7,0.00331266,126.416
1000,0,0.3048,31.7,0.00331266,126.416
1250,0,0.3048,31.7,0.00331266,126.416
1600,0,0.3048,31.7,0.00331266,126.416
2000,0,0.3048,31.7,0.00331266,126.416
2500,0,0.3048,31.7,0.00331266,126.416
3150,0,0.3048,31.7,0.00331266,126.416
4000,0,0.3048,31.7,0.00331266,126.416
5000,0,0.3048,31.7,0.00331266,126.416
6300,0,0.3048,31.7,0.00331266,126.416
8000,0,0.3048,31.7,0.00331266,126.416
